doc_id,item,category,amount,price,discount
cc5a3623,Ложка,кухонная утварь,3,3867.84,520.51
cc5a3623,Полотенце,текстиль,4,4139.22,1233.35
cc5a3623,Гель для душа,бытовая химия,3,2432.81,0.0
f6259594,Овощечистка,кухонная утварь,1,4932.65,268.53
6fbf7ab0,Гель для душа,бытовая химия,4,2532.62,0.0
ebe03b1a,Чайник,посуда,3,823.68,0.0
ebe03b1a,Ложка,кухонная утварь,4,3797.57,134.33
ebe03b1a,Полотенце,текстиль,5,2122.49,550.12
ebe03b1a,Шторы,текстиль,2,4917.38,0.0
1d12f348,Полотенце,текстиль,3,3379.15,711.2
1d12f348,Шторы,текстиль,3,675.08,0.0
c5e86480,Скатерть,текстиль,2,1115.15,68.78
c0736545,Сковорода,посуда,1,1216.19,10.78
c0736545,Полотенце,текстиль,1,2516.76,646.25
c0736545,Кастрюля,посуда,4,4644.45,0.0
c0736545,Разделочная доска,кухонная утварь,4,2627.35,750.15
94a53685,Сковорода,посуда,3,2078.59,296.22
f93af458,Ложка,кухонная утварь,2,3217.35,665.42
f93af458,Сковорода,посуда,2,3380.78,818.07
f93af458,Полотенце,текстиль,3,3500.83,0.0
ebabd115,Средство для мытья пола,бытовая химия,4,3231.03,0.0
