doc_id,item,category,amount,price,discount
a6979fa6,Скатерть,текстиль,2,1812.66,502.79
a6979fa6,Чайник,посуда,3,128.07,0.0
bf6aba6a,Овощечистка,кухонная утварь,4,4820.62,925.82
bf6aba6a,Полотенце,текстиль,2,4216.03,6.48
bf6aba6a,Кастрюля,посуда,4,400.01,19.91
c53b33c3,Чайник,посуда,5,1594.86,70.7
aa533f30,Кастрюля,посуда,4,1993.4,109.75
aa533f30,Ложка,кухонная утварь,5,4766.99,0.0
aa533f30,Средство для мытья пола,бытовая химия,4,323.77,0.0
aa533f30,Гель для душа,бытовая химия,2,4790.31,0.0
bc5536fc,Сковорода,посуда,4,4326.59,0.0
bc5536fc,Полотенце,текстиль,3,720.96,179.29
3543bea2,Разделочная доска,кухонная утварь,2,877.38,0.0
3543bea2,Полотенце,текстиль,1,4610.03,0.0
d9110f9f,Гель для душа,бытовая химия,5,3772.52,195.27
71e8c45f,Разделочная доска,кухонная утварь,3,4579.56,0.0
71e8c45f,Стиральный порошок,бытовая химия,4,4447.62,580.9
a2a77eef,Гель для душа,бытовая химия,1,399.35,0.0
a2a77eef,Гель для душа,бытовая химия,4,3622.22,64.54
a2a77eef,Скатерть,текстиль,1,1093.49,44.46
a2a77eef,Скатерть,текстиль,4,2659.7,0.0
