doc_id,item,category,amount,price,discount
f550c1f8,Шторы,текстиль,2,2609.5,0.0
f550c1f8,Чайник,посуда,1,2380.47,0.0
f550c1f8,Овощечистка,кухонная утварь,2,1280.75,0.0
f550c1f8,Скатерть,текстиль,2,1376.07,215.01
7589afad,Кастрюля,посуда,2,2348.63,619.55
7589afad,Скатерть,текстиль,1,3373.09,294.25
7589afad,Скатерть,текстиль,5,3099.24,224.76
788c84d5,Овощечистка,кухонная утварь,1,1428.09,0.0
788c84d5,Ложка,кухонная утварь,2,292.19,40.12
788c84d5,Чайник,посуда,1,1065.2,0.0
788c84d5,Гель для душа,бытовая химия,2,310.94,24.23
c41c622a,Полотенце,текстиль,5,4022.25,0.0
c41c622a,Гель для душа,бытовая химия,2,1327.46,0.0
c41c622a,Кастрюля,посуда,2,3416.38,474.87
c41c622a,Стиральный порошок,бытовая химия,4,1095.51,0.0
c91b9a81,Ложка,кухонная утварь,4,982.45,177.03
a63b52e4,Скатерть,текстиль,4,3468.13,0.0
a63b52e4,Разделочная доска,кухонная утварь,3,3682.4,0.0
a63b52e4,Гель для душа,бытовая химия,3,3824.05,804.94
c38ec5aa,Кастрюля,посуда,1,229.09,0.0
c38ec5aa,Кастрюля,посуда,1,2440.39,0.0
c38ec5aa,Разделочная доска,кухонная утварь,5,3969.71,145.84
c38ec5aa,Шторы,текстиль,2,3624.77,348.28
abd10702,Овощечистка,кухонная утварь,5,3084.77,247.69
2b8f4c89,Сковорода,посуда,4,547.76,0.0
2b8f4c89,Чайник,посуда,3,4220.16,0.0
dc18e7e4,Гель для душа,бытовая химия,3,1207.01,244.19
687a83cf,Овощечистка,кухонная утварь,5,2258.51,618.12
687a83cf,Полотенце,текстиль,1,698.05,0.0
687a83cf,Скатерть,текстиль,2,757.64,129.81
54411ce1,Разделочная доска,кухонная утварь,2,2534.8,626.58
e2f988dc,Стиральный порошок,бытовая химия,5,1426.95,0.0
e2f988dc,Кастрюля,посуда,1,4521.5,139.14
e2f988dc,Полотенце,текстиль,1,4476.18,1247.01
e2f988dc,Шторы,текстиль,4,4050.46,0.0
