doc_id,item,category,amount,price,discount
7b78c6e8,Полотенце,текстиль,2,4191.36,313.0
7b78c6e8,Чайник,посуда,4,2461.39,0.0
32886641,Скатерть,текстиль,5,3069.65,518.75
32886641,Средство для мытья пола,бытовая химия,3,4836.99,0.0
32886641,Скатерть,текстиль,4,2783.0,78.66
8e786886,Ложка,кухонная утварь,2,3580.07,25.24
8e786886,Сковорода,посуда,2,786.64,71.13
f86b14b1,Ложка,кухонная утварь,5,4349.51,1045.37
3ca22c6b,Гель для душа,бытовая химия,5,411.35,0.0
b2f74517,Стиральный порошок,бытовая химия,1,2887.09,0.0
b2f74517,Ложка,кухонная утварь,5,828.12,107.72
b2f74517,Сковорода,посуда,1,4558.69,0.0
f02e16bb,Овощечистка,кухонная утварь,4,1742.48,0.0
f02e16bb,Полотенце,текстиль,5,2623.91,590.83
e66e1586,Ложка,кухонная утварь,1,3907.28,0.0
e66e1586,Шторы,текстиль,4,4741.63,624.47
70adf2d5,Гель для душа,бытовая химия,1,575.11,164.59
70adf2d5,Кастрюля,посуда,5,3319.83,0.0
