doc_id,item,category,amount,price,discount
023caa95,Полотенце,текстиль,1,4456.86,0.0
023caa95,Скатерть,текстиль,5,954.87,0.0
023caa95,Разделочная доска,кухонная утварь,4,3322.46,0.0
023caa95,Средство для мытья пола,бытовая химия,1,1406.12,72.87
ac686b1c,Гель для душа,бытовая химия,5,4722.27,0.0
ac686b1c,Ложка,кухонная утварь,3,4859.55,906.94
ac686b1c,Чайник,посуда,3,210.12,47.58
ac686b1c,Овощечистка,кухонная утварь,2,4948.75,0.0
a3f95b13,Скатерть,текстиль,1,1077.04,285.33
a3f95b13,Сковорода,посуда,3,4212.11,0.0
a3f95b13,Средство для мытья пола,бытовая химия,5,4393.48,0.0
1570503c,Овощечистка,кухонная утварь,3,2130.97,0.0
1570503c,Сковорода,посуда,2,3503.8,521.23
1570503c,Кастрюля,посуда,5,776.59,0.0
1570503c,Чайник,посуда,5,4345.4,432.13
aa6537b9,Шторы,текстиль,2,2718.37,0.0
aa6537b9,Гель для душа,бытовая химия,3,229.92,46.09
aa6537b9,Разделочная доска,кухонная утварь,5,398.57,0.0
aa6537b9,Стиральный порошок,бытовая химия,5,2690.94,0.0
ed6c3f67,Разделочная доска,кухонная утварь,5,3140.82,0.0
ed6c3f67,Шторы,текстиль,5,1303.42,75.77
ed6c3f67,Шторы,текстиль,1,229.5,28.38
ed6c3f67,Скатерть,текстиль,3,1653.39,296.24
0b882bbf,Гель для душа,бытовая химия,4,239.55,0.0
0b882bbf,Средство для мытья пола,бытовая химия,4,3015.79,0.0
0b882bbf,Овощечистка,кухонная утварь,5,2946.62,0.0
a20b078a,Кастрюля,посуда,1,2173.85,278.18
a20b078a,Полотенце,текстиль,4,2978.07,0.0
f5896b65,Гель для душа,бытовая химия,3,502.01,0.0
