doc_id,item,category,amount,price,discount
6f79a7e1,Овощечистка,кухонная утварь,1,3538.11,0.0
6f79a7e1,Скатерть,текстиль,4,1487.27,375.94
6f79a7e1,Ложка,кухонная утварь,3,646.6,0.0
8ea2c8c7,Овощечистка,кухонная утварь,4,2831.21,0.0
3533e737,Средство для мытья пола,бытовая химия,1,3727.56,1048.18
3533e737,Ложка,кухонная утварь,2,2184.62,587.63
3533e737,Шторы,текстиль,5,2808.38,741.19
3533e737,Стиральный порошок,бытовая химия,2,1884.31,0.0
44ad222a,Чайник,посуда,5,3950.38,0.0
44ad222a,Чайник,посуда,3,2413.06,219.57
ecd19605,Разделочная доска,кухонная утварь,4,2531.25,0.0
ecd19605,Полотенце,текстиль,2,2628.43,458.01
ecd19605,Скатерть,текстиль,1,341.71,0.0
ecd19605,Кастрюля,посуда,5,2448.49,0.0
73ec2456,Скатерть,текстиль,2,738.95,90.3
73ec2456,Скатерть,текстиль,4,312.79,0.0
73ec2456,Овощечистка,кухонная утварь,3,1269.36,49.18
73ec2456,Полотенце,текстиль,1,2459.57,0.0
614f1624,Разделочная доска,кухонная утварь,1,1671.37,246.3
614f1624,Кастрюля,посуда,5,1956.25,0.0
614f1624,Чайник,посуда,1,2212.79,0.0
5b13a1e1,Шторы,текстиль,5,3102.81,61.94
5b13a1e1,Скатерть,текстиль,2,4779.7,0.0
c902acd9,Овощечистка,кухонная утварь,4,2346.8,153.13
c902acd9,Ложка,кухонная утварь,3,472.1,58.1
c902acd9,Стиральный порошок,бытовая химия,2,774.73,0.0
c902acd9,Сковорода,посуда,2,672.77,0.0
e929bbac,Гель для душа,бытовая химия,4,1652.81,0.0
e929bbac,Полотенце,текстиль,5,3737.11,824.59
e929bbac,Стиральный порошок,бытовая химия,4,3278.05,88.9
e929bbac,Сковорода,посуда,4,4840.06,1099.92
9c696a58,Стиральный порошок,бытовая химия,2,1317.31,246.51
9c696a58,Полотенце,текстиль,2,530.72,46.93
9c696a58,Шторы,текстиль,5,2952.96,125.67
f31c21ae,Стиральный порошок,бытовая химия,5,3986.76,1016.44
3543ff69,Сковорода,посуда,3,4625.18,0.0
3543ff69,Сковорода,посуда,1,4171.1,421.27
3543ff69,Овощечистка,кухонная утварь,4,391.79,29.57
3543ff69,Шторы,текстиль,3,4076.8,0.0
e6cfab89,Кастрюля,посуда,3,1516.52,299.79
e6cfab89,Разделочная доска,кухонная утварь,5,292.35,0.0
e9234f6b,Скатерть,текстиль,4,2053.51,88.55
e9234f6b,Сковорода,посуда,3,873.82,0.0
e9234f6b,Гель для душа,бытовая химия,5,3066.53,0.0
