doc_id,item,category,amount,price,discount
cf290c8a,Полотенце,текстиль,5,3155.31,0.0
cf290c8a,Ложка,кухонная утварь,5,4818.74,0.0
cf290c8a,Скатерть,текстиль,5,1098.7,0.0
3ec00b60,Сковорода,посуда,1,356.01,99.91
3ec00b60,Овощечистка,кухонная утварь,2,1861.4,163.34
3ec00b60,Шторы,текстиль,5,4865.21,1239.47
3ec00b60,Ложка,кухонная утварь,3,3888.98,501.71
c1ea8659,Скатерть,текстиль,1,4395.67,0.0
c15de1ea,Полотенце,текстиль,1,2688.87,190.11
fe285bb2,Ложка,кухонная утварь,5,2743.65,0.0
fe285bb2,Гель для душа,бытовая химия,4,4349.33,0.0
fe285bb2,Средство для мытья пола,бытовая химия,1,3683.03,603.81
467c0a88,Скатерть,текстиль,4,2653.96,0.0
467c0a88,Гель для душа,бытовая химия,3,1508.75,0.0
467c0a88,Шторы,текстиль,4,519.18,150.75
fe51c504,Кастрюля,посуда,1,310.47,0.0
fe51c504,Шторы,текстиль,4,625.99,0.0
44540bc7,Средство для мытья пола,бытовая химия,1,1140.24,243.69
44540bc7,Скатерть,текстиль,5,3578.24,284.98
