doc_id,item,category,amount,price,discount
e895235d,Овощечистка,кухонная утварь,4,1214.4,345.52
e895235d,Стиральный порошок,бытовая химия,1,1528.42,219.34
e895235d,Средство для мытья пола,бытовая химия,4,1568.6,321.92
e895235d,Кастрюля,посуда,5,1947.71,0.0
dfa05a1c,Шторы,текстиль,3,3081.96,615.51
0fe68dd8,Кастрюля,посуда,4,1926.23,0.0
0fe68dd8,Разделочная доска,кухонная утварь,4,219.65,28.9
460b3126,Гель для душа,бытовая химия,3,2063.81,0.0
460b3126,Гель для душа,бытовая химия,5,284.79,80.26
460b3126,Средство для мытья пола,бытовая химия,1,244.77,17.73
9553fa2d,Ложка,кухонная утварь,5,4884.34,919.43
9553fa2d,Гель для душа,бытовая химия,5,538.46,8.08
9553fa2d,Сковорода,посуда,3,3551.65,282.77
9553fa2d,Овощечистка,кухонная утварь,2,273.34,0.0
59ef22fc,Разделочная доска,кухонная утварь,3,4180.26,0.0
7bc838b1,Ложка,кухонная утварь,1,3616.96,972.75
7bc838b1,Овощечистка,кухонная утварь,1,1697.79,422.38
7bc838b1,Ложка,кухонная утварь,2,1245.01,0.0
7bc838b1,Стиральный порошок,бытовая химия,5,4627.47,122.93
ca0e674a,Средство для мытья пола,бытовая химия,2,1102.98,0.0
40d9b72b,Скатерть,текстиль,4,3494.24,0.0
40d9b72b,Чайник,посуда,5,4402.19,368.99
40d9b72b,Ложка,кухонная утварь,1,244.4,28.66
8f9778f6,Шторы,текстиль,3,1912.25,534.41
8f9778f6,Сковорода,посуда,5,3225.37,0.0
8f9778f6,Чайник,посуда,1,1853.16,0.0
643ec65c,Скатерть,текстиль,1,1972.01,548.5
643ec65c,Скатерть,текстиль,4,4145.84,0.0
643ec65c,Ложка,кухонная утварь,1,3439.82,0.0
643ec65c,Сковорода,посуда,3,2590.65,0.0
7f692198,Кастрюля,посуда,2,3443.9,0.0
7f692198,Овощечистка,кухонная утварь,2,2936.5,0.0
