doc_id,item,category,amount,price,discount
daaea1fc,Стиральный порошок,бытовая химия,2,1282.44,366.26
daaea1fc,Стиральный порошок,бытовая химия,1,4437.34,403.98
757cc6b4,Ложка,кухонная утварь,5,2976.5,173.13
22cd645d,Ложка,кухонная утварь,1,316.54,0.0
22cd645d,Ложка,кухонная утварь,5,1423.66,318.27
22cd645d,Чайник,посуда,1,4437.0,0.0
22cd645d,Скатерть,текстиль,1,4160.8,449.29
60a5f475,Гель для душа,бытовая химия,1,1502.17,20.87
60a5f475,Шторы,текстиль,4,3817.4,662.05
60a5f475,Ложка,кухонная утварь,5,3678.25,612.19
6e246eae,Стиральный порошок,бытовая химия,3,4924.32,0.0
6e246eae,Гель для душа,бытовая химия,3,3528.13,0.0
5394b123,Разделочная доска,кухонная утварь,4,356.67,0.0
5394b123,Скатерть,текстиль,2,2829.97,127.25
5394b123,Сковорода,посуда,3,1154.11,32.91
5394b123,Шторы,текстиль,1,496.25,0.0
b5639eab,Шторы,текстиль,2,310.04,71.47
b5639eab,Чайник,посуда,1,1439.93,124.27
b5639eab,Ложка,кухонная утварь,1,3036.05,337.99
7c594545,Ложка,кухонная утварь,2,2354.46,0.0
7c594545,Полотенце,текстиль,5,3345.95,0.0
fef6e30f,Ложка,кухонная утварь,3,4370.17,933.85
3783b02b,Скатерть,текстиль,5,3162.76,382.9
3783b02b,Полотенце,текстиль,1,4598.97,0.0
3701377f,Ложка,кухонная утварь,4,3512.63,336.8
e9e193f6,Сковорода,посуда,5,4185.61,543.51
e9e193f6,Чайник,посуда,1,4625.7,684.05
e9e193f6,Чайник,посуда,3,2782.97,563.97
076ff57f,Средство для мытья пола,бытовая химия,4,1410.34,0.0
abf66ee6,Разделочная доска,кухонная утварь,4,2670.58,0.0
9fd2f764,Разделочная доска,кухонная утварь,1,1433.56,0.0
9fd2f764,Средство для мытья пола,бытовая химия,4,4906.52,668.99
9fd2f764,Шторы,текстиль,3,3208.55,669.18
9fd2f764,Кастрюля,посуда,2,2511.56,692.19
