doc_id,item,category,amount,price,discount
54faa5e7,Шторы,текстиль,5,4142.0,0.0
54faa5e7,Скатерть,текстиль,4,1624.87,239.83
e64df3b0,Чайник,посуда,3,4926.2,943.34
e64df3b0,Гель для душа,бытовая химия,4,4362.83,757.87
e64df3b0,Стиральный порошок,бытовая химия,4,410.27,0.0
bb479f9f,Сковорода,посуда,1,1253.98,0.0
c80980a4,Чайник,посуда,2,4147.22,452.45
c80980a4,Чайник,посуда,5,1579.78,0.0
c80980a4,Ложка,кухонная утварь,1,3143.53,337.17
c80980a4,Гель для душа,бытовая химия,2,2023.51,358.04
c7aad93a,Гель для душа,бытовая химия,1,144.91,0.0
c7aad93a,Ложка,кухонная утварь,2,2130.72,0.0
c7aad93a,Скатерть,текстиль,4,4424.02,0.0
c7aad93a,Овощечистка,кухонная утварь,3,447.42,60.48
6be87988,Полотенце,текстиль,3,4829.17,1265.28
6be87988,Стиральный порошок,бытовая химия,3,3122.95,0.0
6be87988,Стиральный порошок,бытовая химия,2,1740.81,0.0
15142336,Сковорода,посуда,4,3376.52,773.67
07165fb1,Скатерть,текстиль,3,662.66,0.0
07165fb1,Полотенце,текстиль,3,2511.53,0.0
07165fb1,Гель для душа,бытовая химия,1,964.35,86.02
e368d079,Овощечистка,кухонная утварь,2,4149.45,1223.03
e368d079,Разделочная доска,кухонная утварь,2,3891.02,0.0
e368d079,Сковорода,посуда,4,4378.75,1147.1
16558f5d,Чайник,посуда,4,1517.87,0.0
e19f3f02,Разделочная доска,кухонная утварь,5,2288.73,0.0
e19f3f02,Скатерть,текстиль,5,217.85,0.0
3fc6a470,Кастрюля,посуда,2,3380.33,548.81
3fc6a470,Средство для мытья пола,бытовая химия,1,2752.86,188.56
3fc6a470,Чайник,посуда,3,2640.31,0.0
