doc_id,item,category,amount,price,discount
657733fe,Гель для душа,бытовая химия,2,2869.33,36.6
657733fe,Ложка,кухонная утварь,3,2650.26,557.12
657733fe,Сковорода,посуда,3,1420.01,0.0
8c5128a3,Ложка,кухонная утварь,1,3371.04,0.0
c155c0dd,Средство для мытья пола,бытовая химия,5,4819.82,72.19
35bf5611,Полотенце,текстиль,2,1329.78,0.0
1e260975,Стиральный порошок,бытовая химия,4,2311.46,675.77
1e260975,Гель для душа,бытовая химия,1,4568.2,1077.2
1e260975,Овощечистка,кухонная утварь,2,1508.16,0.0
1e260975,Овощечистка,кухонная утварь,5,2113.61,0.0
dc37cca9,Овощечистка,кухонная утварь,4,693.97,64.46
dc37cca9,Разделочная доска,кухонная утварь,3,4884.95,0.0
f76c973a,Ложка,кухонная утварь,4,2162.03,385.69
b2a34417,Разделочная доска,кухонная утварь,3,2410.02,464.49
b2a34417,Чайник,посуда,1,2961.13,0.0
b2a34417,Овощечистка,кухонная утварь,2,1220.09,27.11
b2a34417,Полотенце,текстиль,4,484.35,0.0
8bb8ac63,Средство для мытья пола,бытовая химия,1,3742.28,0.0
8bb8ac63,Овощечистка,кухонная утварь,1,4115.78,1047.07
11ad6674,Ложка,кухонная утварь,5,3076.52,274.16
11ad6674,Стиральный порошок,бытовая химия,2,2658.73,632.86
11ad6674,Шторы,текстиль,2,2452.2,128.95
11ad6674,Овощечистка,кухонная утварь,3,4113.91,0.0
8f67a499,Кастрюля,посуда,5,3463.87,831.73
8f67a499,Гель для душа,бытовая химия,1,2243.07,212.72
663c51a5,Стиральный порошок,бытовая химия,5,1313.83,0.0
1417ddfc,Скатерть,текстиль,1,911.86,136.18
1417ddfc,Кастрюля,посуда,5,584.7,0.0
e190c7c3,Шторы,текстиль,2,1537.82,208.92
e190c7c3,Овощечистка,кухонная утварь,4,1495.13,243.29
ec7e6ca1,Разделочная доска,кухонная утварь,5,2495.89,128.16
